longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
-117.94,33.76,33.0,1441.0,337.0,1233.0,331.0,3.7232,<1H OCEAN,4.353474320241692,0.2338653712699514,3.7250755287009065,176200.0
-122.47,37.73,52.0,2151.0,280.0,762.0,274.0,10.7309,NEAR OCEAN,7.850364963503649,0.1301720130172013,2.781021897810219,500001.0
-120.79,38.83,15.0,1374.0,291.0,709.0,239.0,1.7222,INLAND,5.7489539748953975,0.2117903930131004,2.9665271966527196,118500.0
-122.28,37.87,52.0,1813.0,353.0,828.0,339.0,3.5625,NEAR BAY,5.348082595870206,0.1947049089906233,2.4424778761061945,191700.0
-120.37,37.98,29.0,2508.0,591.0,1112.0,550.0,1.6021,INLAND,4.56,0.235645933014354,2.021818181818182,91400.0
-118.23,34.1,38.0,1051.0,249.0,799.0,229.0,2.712,<1H OCEAN,4.5895196506550215,0.2369172216936251,3.489082969432314,143800.0
-117.92,33.94,30.0,2506.0,394.0,1255.0,421.0,4.7813,<1H OCEAN,5.95249406175772,0.1572226656025538,2.980997624703088,198200.0
-117.11,32.68,36.0,26.0,14.0,58.0,23.0,1.9107,NEAR OCEAN,1.1304347826086956,0.5384615384615384,2.5217391304347827,125000.0
-121.57,39.8,23.0,790.0,137.0,365.0,152.0,2.1912,INLAND,5.197368421052632,0.1734177215189873,2.401315789473684,115200.0
-122.48,37.72,46.0,2403.0,638.0,1281.0,603.0,3.2321,NEAR OCEAN,3.985074626865672,0.2655014565126924,2.1243781094527363,112500.0
-118.2,33.82,43.0,1758.0,347.0,954.0,312.0,5.2606,NEAR OCEAN,5.634615384615385,0.1973833902161547,3.0576923076923075,198900.0
-121.37,38.68,29.0,3757.0,646.0,2022.0,611.0,3.5429,INLAND,6.148936170212766,0.171945701357466,3.309328968903437,88200.0
-117.22,32.83,31.0,3958.0,727.0,1924.0,728.0,5.4605,NEAR OCEAN,5.436813186813187,0.1836786255684689,2.642857142857143,190200.0
-122.07,37.39,19.0,1465.0,342.0,646.0,345.0,4.712,NEAR BAY,4.246376811594203,0.2334470989761092,1.872463768115942,289300.0
-121.99,37.3,28.0,4863.0,901.0,2110.0,868.0,5.1483,<1H OCEAN,5.602534562211981,0.1852765782438823,2.4308755760368665,342000.0
-118.51,34.23,36.0,3324.0,448.0,1190.0,423.0,7.2772,<1H OCEAN,7.858156028368795,0.1347773766546329,2.813238770685579,477200.0
-118.3,34.02,27.0,2190.0,626.0,1768.0,528.0,1.2446,<1H OCEAN,4.1477272727272725,0.2858447488584474,3.3484848484848486,103800.0
-117.99,33.77,29.0,1312.0,267.0,922.0,255.0,3.1902,<1H OCEAN,5.145098039215687,0.2035060975609756,3.615686274509804,202400.0
-122.49,37.75,43.0,2044.0,393.0,979.0,378.0,3.9205,NEAR OCEAN,5.407407407407407,0.1922700587084148,2.5899470899470898,319100.0
-117.5,34.0,15.0,1929.0,317.0,1237.0,316.0,4.4063,INLAND,6.104430379746836,0.1643338517366511,3.9145569620253164,128500.0
-117.24,34.04,4.0,4289.0,682.0,1981.0,705.0,5.3366,INLAND,6.083687943262412,0.1590114245744928,2.8099290780141843,165100.0
-117.88,33.89,16.0,959.0,176.0,353.0,185.0,4.5,<1H OCEAN,5.183783783783784,0.1835245046923879,1.9081081081081082,173300.0
-117.38,34.08,11.0,5684.0,1139.0,3095.0,1036.0,3.6875,INLAND,5.486486486486487,0.200387051372273,2.9874517374517375,112600.0
-118.02,33.73,24.0,6393.0,1141.0,2743.0,1057.0,5.1384,<1H OCEAN,6.048249763481552,0.1784764586266228,2.595080416272469,336900.0
-121.3,38.04,8.0,2668.0,447.0,1713.0,444.0,4.0156,INLAND,6.009009009009009,0.1675412293853073,3.858108108108108,117600.0
-118.32,33.91,35.0,940.0,197.0,640.0,215.0,4.2,<1H OCEAN,4.372093023255814,0.2095744680851063,2.9767441860465116,181300.0
-121.07,37.71,39.0,223.0,37.0,92.0,37.0,3.375,INLAND,6.027027027027027,0.1659192825112107,2.4864864864864864,212500.0
-121.07,38.66,22.0,1831.0,274.0,813.0,269.0,4.6394,INLAND,6.806691449814126,0.1496450027307482,3.0223048327137545,173400.0
-120.27,37.11,18.0,1277.0,234.0,674.0,238.0,2.6694,INLAND,5.3655462184873945,0.1832419733750978,2.831932773109244,75900.0
-118.32,33.89,44.0,1300.0,252.0,695.0,249.0,5.1669,<1H OCEAN,5.220883534136546,0.1938461538461538,2.791164658634538,220600.0
-118.33,34.04,52.0,2545.0,401.0,1004.0,372.0,3.6373,<1H OCEAN,6.841397849462366,0.1575638506876228,2.6989247311827955,420000.0
-118.58,34.21,24.0,2642.0,696.0,1649.0,633.0,3.0187,<1H OCEAN,4.173775671406003,0.2634367903103709,2.6050552922590837,217700.0
-117.98,33.69,16.0,2437.0,438.0,986.0,422.0,5.7117,<1H OCEAN,5.774881516587678,0.1797291752154288,2.3364928909952605,247200.0
-117.65,34.07,35.0,2501.0,651.0,1182.0,591.0,1.4464,INLAND,4.231810490693739,0.2602958816473411,2.0,113200.0
-118.01,34.09,32.0,1613.0,361.0,1283.0,404.0,3.1944,INLAND,3.992574257425743,0.2238065716057036,3.1757425742574257,181700.0
-121.2,38.68,9.0,2200.0,422.0,938.0,369.0,3.4896,INLAND,5.9620596205962055,0.1918181818181818,2.5420054200542004,143800.0
-120.39,34.52,40.0,2162.0,395.0,1010.0,332.0,2.5667,NEAR OCEAN,6.5120481927710845,0.1827012025901942,3.0421686746987953,239300.0
-122.44,37.76,52.0,1968.0,472.0,784.0,430.0,3.3702,NEAR BAY,4.576744186046511,0.2398373983739837,1.8232558139534885,370000.0
-121.08,39.02,13.0,1839.0,275.0,752.0,270.0,4.2031,INLAND,6.811111111111111,0.1495377922784121,2.785185185185185,209600.0
-122.16,37.74,43.0,1534.0,300.0,826.0,295.0,4.0417,NEAR BAY,5.2,0.195567144719687,2.8,109400.0
-119.7,34.36,35.0,1604.0,334.0,904.0,337.0,4.7411,NEAR OCEAN,4.759643916913946,0.2082294264339152,2.6824925816023737,336400.0
-119.73,36.52,20.0,1741.0,331.0,1466.0,289.0,2.5921,INLAND,6.024221453287197,0.1901206203331418,5.072664359861592,94200.0
-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,NEAR BAY,4.181818181818182,0.2702702702702703,3.0147420147420148,126800.0
-118.25,34.01,31.0,1301.0,403.0,1952.0,377.0,2.1466,<1H OCEAN,3.4509283819628647,0.309761721752498,5.177718832891247,100800.0
-122.39,41.41,23.0,910.0,199.0,370.0,169.0,1.7448,INLAND,5.384615384615385,0.2186813186813186,2.1893491124260356,80100.0
-119.59,36.64,27.0,823.0,171.0,798.0,200.0,3.0521,INLAND,4.115,0.2077764277035237,3.99,113800.0
-119.8,36.78,50.0,1818.0,374.0,737.0,338.0,2.2614,INLAND,5.378698224852071,0.2057205720572057,2.1804733727810652,73000.0
-118.15,34.11,52.0,1746.0,330.0,704.0,306.0,3.7895,<1H OCEAN,5.705882352941177,0.1890034364261168,2.3006535947712417,364800.0
-117.08,34.96,28.0,1777.0,307.0,721.0,259.0,3.6343,INLAND,6.861003861003861,0.172763083849184,2.7837837837837838,79800.0
-117.91,33.83,47.0,504.0,113.0,375.0,109.0,3.6607,<1H OCEAN,4.623853211009174,0.2242063492063492,3.4403669724770642,160600.0
-122.43,37.43,17.0,11999.0,2249.0,5467.0,1989.0,4.8405,NEAR OCEAN,6.032679738562091,0.1874322860238353,2.748617395676219,354300.0
-117.18,34.48,8.0,3561.0,691.0,2156.0,659.0,2.7778,INLAND,5.403641881638847,0.1940466161190676,3.2716236722306524,86900.0
-118.47,34.3,16.0,2495.0,551.0,2314.0,567.0,3.6736,<1H OCEAN,4.400352733686067,0.2208416833667334,4.081128747795415,192200.0
-117.79,33.68,9.0,1633.0,295.0,928.0,297.0,5.7858,<1H OCEAN,5.498316498316498,0.1806491120636864,3.1245791245791246,265900.0
-122.42,37.77,52.0,1925.0,568.0,867.0,515.0,2.879,NEAR BAY,3.737864077669903,0.2950649350649351,1.683495145631068,450000.0
-119.0,35.37,41.0,303.0,78.0,216.0,80.0,2.2212,INLAND,3.7875,0.2574257425742574,2.7,55500.0
-121.35,38.65,20.0,2498.0,546.0,1185.0,506.0,3.2243,INLAND,4.936758893280633,0.2185748598879103,2.341897233201581,107900.0
-121.97,37.54,28.0,2312.0,496.0,1344.0,467.0,4.7135,<1H OCEAN,4.950749464668094,0.2145328719723183,2.8779443254817987,203200.0
-116.9,33.93,34.0,3183.0,738.0,1820.0,647.0,2.2321,INLAND,4.919629057187017,0.2318567389255419,2.812982998454405,71800.0
-117.68,33.49,16.0,3084.0,724.0,2557.0,690.0,2.8357,<1H OCEAN,4.469565217391304,0.2347600518806744,3.705797101449275,106300.0
-121.79,38.54,7.0,1777.0,513.0,4479.0,504.0,1.4653,INLAND,3.5257936507936507,0.2886888013505909,8.886904761904763,310000.0
-122.5,37.75,43.0,2373.0,481.0,1247.0,454.0,4.0985,NEAR OCEAN,5.226872246696035,0.2026970080067425,2.746696035242291,283200.0
-122.32,37.56,49.0,2016.0,299.0,691.0,288.0,5.549,NEAR OCEAN,7.0,0.148313492063492,2.3993055555555554,500001.0
-122.48,37.71,29.0,1048.0,150.0,455.0,152.0,6.1278,NEAR OCEAN,6.894736842105263,0.1431297709923664,2.9934210526315788,417600.0
-122.34,40.57,24.0,1610.0,307.0,748.0,307.0,2.6591,INLAND,5.244299674267101,0.1906832298136646,2.436482084690554,82800.0
-120.62,37.37,8.0,2608.0,428.0,1530.0,435.0,3.968,INLAND,5.995402298850575,0.1641104294478527,3.5172413793103448,102100.0
-118.24,33.96,44.0,1338.0,366.0,1765.0,388.0,1.7778,<1H OCEAN,3.448453608247423,0.273542600896861,4.548969072164948,109900.0
-121.13,37.47,37.0,1995.0,448.0,1559.0,443.0,2.1833,INLAND,4.503386004514673,0.2245614035087719,3.5191873589164784,92700.0
-121.42,36.86,41.0,440.0,106.0,389.0,94.0,2.6818,INLAND,4.680851063829787,0.2409090909090909,4.138297872340425,225000.0
-122.03,37.99,35.0,3103.0,537.0,1614.0,566.0,4.9022,NEAR BAY,5.482332155477032,0.1730583306477602,2.851590106007067,169300.0
-118.7,34.28,27.0,3536.0,646.0,1837.0,580.0,4.4964,<1H OCEAN,6.096551724137931,0.1826923076923076,3.1672413793103447,238300.0
-118.51,34.29,29.0,1287.0,194.0,525.0,187.0,6.4171,<1H OCEAN,6.882352941176471,0.1507381507381507,2.807486631016043,319300.0
-117.07,32.75,9.0,3464.0,749.0,1687.0,645.0,3.3026,NEAR OCEAN,5.370542635658914,0.2162240184757505,2.6155038759689924,119100.0
-122.55,38.42,24.0,2220.0,411.0,894.0,365.0,4.2891,<1H OCEAN,6.082191780821918,0.1851351351351351,2.4493150684931506,211700.0
-117.88,33.83,22.0,3522.0,543.0,1706.0,524.0,6.4685,<1H OCEAN,6.721374045801527,0.1541737649063032,3.2557251908396947,241200.0
-118.35,34.09,35.0,2234.0,689.0,1334.0,662.0,2.5444,<1H OCEAN,3.3746223564954683,0.3084153983885407,2.015105740181269,236100.0
-122.03,37.03,21.0,4650.0,733.0,2014.0,704.0,5.6233,NEAR OCEAN,6.605113636363637,0.1576344086021505,2.8607954545454546,322000.0
-122.09,37.71,35.0,2663.0,387.0,1086.0,367.0,5.1498,NEAR BAY,7.256130790190736,0.1453248216297409,2.9591280653950953,266400.0
-118.46,34.05,25.0,4077.0,1151.0,1719.0,1017.0,3.7721,<1H OCEAN,4.008849557522124,0.2823154280107922,1.6902654867256637,337500.0
-120.67,40.5,15.0,5343.0,,2503.0,902.0,3.5962,INLAND,5.923503325942351,,2.7749445676274944,85900.0
-120.02,38.92,24.0,1194.0,246.0,414.0,151.0,3.2396,INLAND,7.90728476821192,0.2060301507537688,2.7417218543046356,101900.0
-117.06,32.72,31.0,2669.0,514.0,1626.0,499.0,3.1923,NEAR OCEAN,5.348697394789579,0.1925814911952042,3.258517034068136,116900.0
-118.17,33.77,45.0,2151.0,643.0,1047.0,579.0,3.1149,NEAR OCEAN,3.715025906735751,0.298930729893073,1.8082901554404145,218800.0
-122.37,37.95,32.0,1298.0,363.0,716.0,268.0,0.9797,NEAR BAY,4.843283582089552,0.2796610169491525,2.671641791044776,76400.0
-120.77,37.01,28.0,1689.0,378.0,1057.0,267.0,3.125,INLAND,6.325842696629214,0.2238010657193605,3.958801498127341,156300.0
-117.88,34.06,23.0,6689.0,1124.0,3081.0,1047.0,5.9254,<1H OCEAN,6.38872970391595,0.1680370757960831,2.9426934097421205,491200.0
-122.02,37.94,23.0,3516.0,661.0,1465.0,623.0,4.2569,NEAR BAY,5.643659711075442,0.1879977246871444,2.351524879614767,213100.0
-115.41,32.99,29.0,1141.0,220.0,684.0,194.0,3.4038,INLAND,5.881443298969073,0.1928133216476774,3.5257731958762886,107800.0
-116.51,33.84,16.0,980.0,193.0,454.0,185.0,4.0729,INLAND,5.297297297297297,0.196938775510204,2.454054054054054,100000.0
-122.19,39.92,20.0,2563.0,658.0,1363.0,611.0,1.023,INLAND,4.194762684124386,0.2567303940694498,2.230769230769231,54200.0
-117.92,34.05,36.0,2241.0,419.0,1743.0,448.0,4.6587,<1H OCEAN,5.002232142857143,0.1869701026327532,3.890625,161900.0
-121.47,38.5,17.0,1895.0,424.0,620.0,417.0,1.7188,INLAND,4.5443645083932855,0.2237467018469657,1.486810551558753,137500.0
-121.93,37.72,26.0,2806.0,459.0,1453.0,444.0,4.9107,<1H OCEAN,6.31981981981982,0.1635780470420527,3.2725225225225225,213800.0
-121.84,36.61,21.0,2876.0,802.0,2487.0,795.0,2.2007,<1H OCEAN,3.617610062893082,0.2788595271210013,3.128301886792453,112800.0
-121.86,37.37,15.0,8162.0,2124.0,8793.0,2086.0,3.3306,<1H OCEAN,3.912751677852349,0.2602303357020338,4.215244487056568,210300.0
-118.43,33.96,38.0,1104.0,216.0,415.0,163.0,6.1985,<1H OCEAN,6.773006134969325,0.1956521739130435,2.5460122699386503,422000.0
-122.03,37.99,37.0,1755.0,327.0,882.0,350.0,4.59,NEAR BAY,5.014285714285714,0.1863247863247863,2.52,166600.0
-118.03,34.15,43.0,1694.0,283.0,674.0,267.0,4.1797,INLAND,6.344569288389513,0.1670602125147579,2.5243445692883895,486800.0
-119.67,36.65,20.0,2512.0,449.0,1464.0,450.0,3.9211,INLAND,5.582222222222223,0.1787420382165605,3.2533333333333334,92300.0
-122.82,38.38,27.0,2565.0,479.0,1227.0,467.0,4.5132,<1H OCEAN,5.492505353319058,0.1867446393762183,2.627408993576017,259900.0
-117.99,33.74,26.0,4065.0,741.0,1960.0,739.0,4.506,<1H OCEAN,5.500676589986468,0.1822878228782287,2.6522327469553453,240000.0
-118.36,33.79,34.0,5166.0,704.0,2071.0,668.0,8.3609,NEAR OCEAN,7.733532934131737,0.1362756484707704,3.1002994011976046,500001.0
-117.93,33.67,27.0,3512.0,472.0,1391.0,481.0,8.1001,<1H OCEAN,7.301455301455301,0.1343963553530751,2.891891891891892,336500.0
-121.1,37.8,35.0,1853.0,331.0,958.0,340.0,3.3578,INLAND,5.45,0.1786292498650836,2.8176470588235296,149000.0
-118.32,33.77,37.0,627.0,95.0,259.0,106.0,6.887,<1H OCEAN,5.915094339622642,0.1515151515151515,2.443396226415094,500001.0
-121.21,37.8,33.0,1862.0,429.0,971.0,389.0,2.6053,INLAND,4.786632390745501,0.2303974221267454,2.4961439588688945,99200.0
-121.73,38.55,34.0,1717.0,393.0,1224.0,387.0,2.7917,INLAND,4.4366925064599485,0.2288875946418171,3.1627906976744184,130800.0
-118.35,34.22,19.0,9259.0,1653.0,3963.0,1595.0,5.997,<1H OCEAN,5.805015673981191,0.1785289988119667,2.484639498432602,228700.0
-117.94,34.1,31.0,1239.0,254.0,929.0,244.0,3.3625,<1H OCEAN,5.077868852459017,0.2050040355125101,3.807377049180328,153400.0
-118.43,34.23,35.0,2049.0,390.0,1286.0,385.0,4.4432,<1H OCEAN,5.322077922077922,0.1903367496339678,3.3402597402597403,181500.0
-118.63,34.24,9.0,4759.0,924.0,1884.0,915.0,4.8333,<1H OCEAN,5.201092896174863,0.1941584366463542,2.059016393442623,277200.0
-119.88,36.83,2.0,4055.0,735.0,1730.0,654.0,4.2132,INLAND,6.200305810397554,0.1812577065351418,2.6452599388379205,96500.0
-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,INLAND,6.674351585014409,0.1625647668393782,2.6671469740634004,163100.0
-115.55,32.79,22.0,565.0,162.0,692.0,141.0,1.2083,INLAND,4.00709219858156,0.2867256637168142,4.907801418439717,53600.0
-119.02,36.05,22.0,2078.0,431.0,1336.0,456.0,2.2202,INLAND,4.557017543859649,0.2074109720885466,2.9298245614035086,65200.0
-117.4,33.76,8.0,1954.0,330.0,973.0,321.0,4.4875,INLAND,6.087227414330218,0.1688843398157625,3.0311526479750777,249100.0
-118.37,34.02,44.0,1944.0,458.0,981.0,377.0,2.6154,<1H OCEAN,5.156498673740053,0.23559670781893,2.6021220159151195,193200.0
-122.02,36.98,21.0,607.0,155.0,226.0,136.0,1.9063,NEAR OCEAN,4.463235294117647,0.2553542009884679,1.661764705882353,166700.0
-120.95,37.65,37.0,136.0,20.0,72.0,22.0,2.2279,INLAND,6.181818181818182,0.1470588235294117,3.272727272727273,225000.0
-120.97,37.67,31.0,1648.0,293.0,792.0,294.0,2.4,INLAND,5.605442176870748,0.1777912621359223,2.693877551020408,121500.0
-122.81,38.54,12.0,2289.0,611.0,919.0,540.0,1.1553,<1H OCEAN,4.238888888888889,0.2669287898645697,1.701851851851852,139300.0
-122.0,36.98,43.0,1636.0,324.0,792.0,325.0,3.5562,NEAR OCEAN,5.033846153846154,0.1980440097799511,2.436923076923077,239200.0
-122.14,37.43,52.0,1944.0,308.0,696.0,293.0,8.2664,NEAR BAY,6.63481228668942,0.1584362139917695,2.3754266211604094,500001.0
-122.95,38.73,37.0,1548.0,328.0,863.0,287.0,2.9792,<1H OCEAN,5.393728222996516,0.2118863049095607,3.0069686411149825,151300.0
-121.28,37.91,31.0,820.0,179.0,576.0,155.0,1.69,INLAND,5.290322580645161,0.2182926829268292,3.7161290322580647,65900.0
-118.35,33.89,25.0,1769.0,440.0,1371.0,414.0,3.0833,<1H OCEAN,4.2729468599033815,0.248728094968909,3.3115942028985508,232700.0
-118.48,34.02,29.0,1585.0,542.0,1019.0,487.0,2.7072,<1H OCEAN,3.2546201232032854,0.3419558359621451,2.0924024640657084,375000.0
-122.68,38.76,29.0,994.0,226.0,302.0,117.0,2.3125,INLAND,8.495726495726496,0.2273641851106639,2.5811965811965814,67900.0
-118.4,34.14,52.0,1695.0,281.0,595.0,264.0,6.0678,<1H OCEAN,6.420454545454546,0.1657817109144543,2.253787878787879,399300.0
-117.67,34.02,16.0,3042.0,524.0,1516.0,475.0,4.8906,INLAND,6.404210526315789,0.1722550953320184,3.191578947368421,178500.0
-117.92,33.79,35.0,1785.0,288.0,1033.0,297.0,4.5739,<1H OCEAN,6.01010101010101,0.161344537815126,3.478114478114478,190500.0
-117.16,32.74,27.0,2335.0,604.0,982.0,590.0,3.1921,NEAR OCEAN,3.957627118644068,0.2586723768736617,1.664406779661017,261500.0
-120.0,38.92,17.0,1106.0,207.0,466.0,180.0,3.3295,INLAND,6.144444444444445,0.1871609403254973,2.588888888888889,126600.0
-117.98,33.76,24.0,1880.0,405.0,967.0,418.0,4.4545,<1H OCEAN,4.497607655502392,0.2154255319148936,2.313397129186603,192500.0
-119.71,34.42,49.0,1560.0,436.0,1041.0,411.0,2.925,<1H OCEAN,3.795620437956204,0.2794871794871795,2.5328467153284673,246900.0
-121.52,39.5,33.0,1462.0,241.0,569.0,231.0,3.2833,INLAND,6.329004329004329,0.1648426812585499,2.463203463203463,82600.0
-122.49,37.75,47.0,2140.0,425.0,1105.0,401.0,3.7054,NEAR OCEAN,5.3366583541147135,0.1985981308411215,2.7556109725685785,308500.0
-117.96,33.76,24.0,1328.0,290.0,1012.0,306.0,4.2813,<1H OCEAN,4.339869281045751,0.2183734939759036,3.30718954248366,189500.0
-119.79,36.78,41.0,2227.0,462.0,1129.0,415.0,2.319,INLAND,5.366265060240964,0.2074539739559946,2.720481927710843,59100.0
-118.38,34.04,36.0,3005.0,771.0,2054.0,758.0,2.0437,<1H OCEAN,3.9643799472295513,0.2565723793677205,2.7097625329815305,309100.0
-119.8,36.02,20.0,156.0,39.0,171.0,37.0,3.05,INLAND,4.216216216216216,0.25,4.621621621621622,225000.0
-121.26,38.11,4.0,2058.0,366.0,933.0,316.0,4.2448,INLAND,6.512658227848101,0.1778425655976676,2.9525316455696204,150900.0
-118.45,34.08,52.0,1500.0,176.0,384.0,145.0,7.1576,<1H OCEAN,10.344827586206897,0.1173333333333333,2.6482758620689655,500001.0
-118.44,34.19,29.0,1599.0,459.0,1143.0,438.0,2.4583,<1H OCEAN,3.6506849315068495,0.2870544090056285,2.6095890410958904,199100.0
-122.22,37.36,34.0,1559.0,243.0,600.0,242.0,8.7382,NEAR OCEAN,6.4421487603305785,0.1558691468890314,2.479338842975207,500001.0
-118.43,34.03,36.0,1552.0,388.0,867.0,352.0,3.6467,<1H OCEAN,4.409090909090909,0.25,2.4630681818181817,346700.0
-121.69,37.14,12.0,4077.0,590.0,1618.0,540.0,5.2951,<1H OCEAN,7.55,0.1447142506745155,2.9962962962962965,386200.0
-118.77,34.28,27.0,1416.0,251.0,1024.0,268.0,5.1074,<1H OCEAN,5.283582089552239,0.1772598870056497,3.8208955223880596,185200.0
-118.39,33.99,32.0,2612.0,418.0,1030.0,402.0,6.603,<1H OCEAN,6.497512437810945,0.1600306278713629,2.5621890547263684,369200.0
-121.35,38.68,20.0,7085.0,1222.0,3455.0,1229.0,4.3118,INLAND,5.764849471114728,0.1724770642201835,2.8112286411716845,120000.0
-118.36,33.82,36.0,1784.0,311.0,901.0,293.0,6.2247,<1H OCEAN,6.088737201365188,0.1743273542600897,3.0750853242320817,339000.0
-121.27,38.31,17.0,1144.0,202.0,626.0,178.0,4.4107,INLAND,6.426966292134831,0.1765734265734265,3.5168539325842696,151600.0
-121.93,37.27,28.0,3428.0,753.0,1753.0,729.0,4.1033,<1H OCEAN,4.702331961591221,0.219661610268378,2.404663923182442,281000.0
-117.79,33.55,39.0,5066.0,1292.0,1915.0,1117.0,3.821,<1H OCEAN,4.5353625783348255,0.2550335570469799,1.7144136078782453,452100.0
-118.4,33.87,45.0,2093.0,497.0,842.0,472.0,6.3231,<1H OCEAN,4.434322033898305,0.2374581939799331,1.7838983050847457,500001.0
-116.15,33.69,22.0,197.0,54.0,331.0,70.0,2.9286,INLAND,2.8142857142857145,0.2741116751269035,4.728571428571429,112500.0
-118.54,34.18,17.0,7214.0,1994.0,4100.0,1823.0,3.0943,<1H OCEAN,3.9572133845309927,0.2764069864153036,2.249040043883708,174500.0
-117.73,34.01,36.0,2340.0,392.0,1213.0,388.0,4.125,INLAND,6.030927835051546,0.1675213675213675,3.1262886597938144,213000.0
-117.88,33.71,30.0,1739.0,359.0,1914.0,369.0,3.5551,<1H OCEAN,4.712737127371274,0.2064404830362277,5.186991869918699,185200.0
-122.05,39.34,44.0,1064.0,230.0,494.0,175.0,2.875,INLAND,6.08,0.2161654135338346,2.822857142857143,61500.0
-118.38,34.06,31.0,4345.0,1158.0,1987.0,1070.0,2.8233,<1H OCEAN,4.0607476635514015,0.2665132336018412,1.8570093457943926,310000.0
-121.45,38.37,32.0,1441.0,261.0,629.0,249.0,4.4519,INLAND,5.78714859437751,0.1811242192921582,2.5261044176706826,137500.0
-122.01,37.58,17.0,4313.0,717.0,2629.0,721.0,5.7579,NEAR BAY,5.981969486823855,0.1662415951773707,3.6463245492371708,231800.0
-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,<1H OCEAN,4.969230769230769,0.2454666076957098,2.9626373626373628,97200.0
-118.0,33.81,22.0,2642.0,640.0,1702.0,588.0,3.5268,<1H OCEAN,4.493197278911564,0.2422407267221801,2.8945578231292517,174700.0
-122.47,37.69,27.0,2447.0,720.0,2104.0,657.0,3.449,NEAR OCEAN,3.7245053272450535,0.2942378422558234,3.202435312024353,239100.0
-114.49,33.97,17.0,2809.0,635.0,83.0,45.0,1.6154,INLAND,62.422222222222224,0.2260590957636169,1.8444444444444446,87500.0
-118.09,33.93,37.0,1950.0,356.0,1183.0,338.0,4.1449,<1H OCEAN,5.769230769230769,0.1825641025641025,3.5,175300.0
-118.4,33.9,37.0,2458.0,400.0,920.0,375.0,7.8924,<1H OCEAN,6.554666666666667,0.16273393002441,2.453333333333333,500001.0
